epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.036,1.14964,4.99899,1.22918,0,0,0,0,0.95365,5.03503,1.04646,1.596e-05,1.596e-05,1.596e-05
2,92.5457,1.11028,4.92936,1.16991,0,0,0,0,0.95024,5.02504,1.04084,2.99583e-05,2.99583e-05,2.99583e-05
3,135.901,1.08335,4.87771,1.18033,0,0,0,0,0.95167,5.00431,1.03827,4.05331e-05,4.05331e-05,4.05331e-05
4,179.191,1.11337,4.77486,1.18732,0,0,0,0,0.95641,4.97296,1.03878,4.76845e-05,4.76845e-05,4.76845e-05
5,222.369,1.14651,4.66045,1.2087,0.01278,0.00162,0.00721,0.00659,0.97895,4.90642,1.04459,5.14125e-05,5.14125e-05,5.14125e-05
6,266.501,1.12389,4.58729,1.18522,0.01623,0.00641,0.01095,0.00881,0.99881,4.82646,1.0525,5.1717e-05,5.1717e-05,5.1717e-05
7,309.879,1.19268,4.55907,1.1743,0.02816,0.02959,0.02246,0.02019,1.02154,4.70248,1.06271,4.85982e-05,4.85982e-05,4.85982e-05
8,353.178,1.09101,4.37446,1.16485,0.02706,0.04649,0.02307,0.02059,1.02517,4.62247,1.06398,4.0831e-05,4.0831e-05,4.0831e-05
9,397.553,1.15056,4.37314,1.17177,0.01776,0.08576,0.0228,0.01981,1.0286,4.45665,1.06678,2.7664e-05,2.7664e-05,2.7664e-05
10,445.723,1.14483,4.29659,1.19858,0.01963,0.10647,0.02619,0.02221,1.03148,4.37884,1.07021,1.4497e-05,1.4497e-05,1.4497e-05
